"file","language","code","blank","comment"
".\src\app\(boffmedia)\(herramientas)\mhwilds\builds\planner\_components\CurrentEquipment.tsx","TypeScript","175","17","3"
".\src\app\smartrotom\chatapp\_components\ImageMessage.tsx","TypeScript","174","11","0"
".\src\app\(boffmedia)\(herramientas)\mhwilds\builds\planner\_components\CharmSelector.tsx","TypeScript","174","17","5"
".\src\app\(boffmedia)\(herramientas)\otros\sorteos\_components\ParticipantsList.tsx","TypeScript","173","9","0"
".\src\app\smartrotom\admin\carteles\_components\HighwaySign.tsx","TypeScript","172","11","0"
".\src\app\smartrotom\chatapp\_components\CreateGroup.tsx","TypeScript","171","10","0"
".\src\app\(boffmedia)\(eventos)\eventos\_components\EventCard.tsx","TypeScript","171","22","0"
".\src\app\(boffmedia)\(eventos)\eventos\[id]\_components\EventHero.tsx","TypeScript","171","18","0"
".\src\app\smartrotom\arcade\maze\_components\BindingOfIsaacMaze.tsx","TypeScript","170","19","0"
".\src\app\battlesim\dex\_components\PokemonDetail.tsx","TypeScript","169","16","3"
".\src\app\smartrotom\starbank\calendario\_components\FinancialCalendar.tsx","TypeScript","168","20","10"
".\src\app\battlesim\page copy.tsx","TypeScript","168","59","47"
".\src\app\battlesim\replay\_components\Game.tsx","TypeScript","167","22","17"
".\src\app\smartrotom\arcade\puzle\page.tsx","TypeScript","167","18","0"
".\src\app\(boffmedia)\(herramientas)\otros\sorteos\_components\WinnerDisplay.tsx","TypeScript","167","14","0"
".\src\app\(boffmedia)\(herramientas)\pokemon\tcgpocket\page.tsx","TypeScript","167","9","0"
".\src\components\ui\primitives\sheet.tsx","TypeScript","166","26","0"
".\src\app\smartrotom\arcade\voltorb\_components\RulesModal.tsx","TypeScript","166","8","0"
".\src\app\smartrotom\chatapp\_components\WaypointPicker.tsx","TypeScript","163","11","0"
".\src\app\smartrotom\arcade\test\tama\_components\TamagotchiScreen.tsx","TypeScript","162","8","0"
".\src\app\smartrotom\mewtwitch\_components\TwitchResults.tsx","TypeScript","160","18","0"
".\src\app\smartrotom\misiones\page.tsx","TypeScript","160","9","0"
".\src\app\smartrotom\pokedex\_components\PokemonSprite.tsx","TypeScript","160","20","2"
".\src\app\battlesim\_components\BattleEndScreen.tsx","TypeScript","160","19","3"
".\src\app\smartrotom\admin\arceuspeak\page.tsx","TypeScript","160","16","1"
".\src\app\smartrotom\arcade\test\_hooks\useAnimationLogic.ts","TypeScript","160","21","1"
".\src\components\smartrotom\shared\BaseHistory.tsx","TypeScript","159","13","0"
".\src\services\api\smartrotom\arcadeService.ts","TypeScript","159","31","70"
".\src\app\wingull\pueblos\[pueblo]\_components\map\TownMap.tsx","TypeScript","159","24","5"
".\src\app\(boffmedia)\(herramientas)\pokemon\tcgpocket\cartas\page.tsx","TypeScript","159","25","4"
".\src\app\battlesim\dex\_context\DexContext.tsx","TypeScript","159","28","18"
".\src\app\smartrotom\admin\rendimiento\page.tsx","TypeScript","158","12","1"
".\src\services\api\boffmedia\eventsService.ts","TypeScript","154","46","120"
".\src\components\ui\navigation\FicusNav.tsx","TypeScript","153","11","0"
".\src\lib\smartrotom\pokemonDisplayUtils.tsx","TypeScript","153","24","18"
".\src\components\smartrotom\calls\ExpandedView.tsx","TypeScript","153","14","0"
".\src\components\smartrotom\shared\BaseCard.tsx","TypeScript","153","16","3"
".\src\app\smartrotom\taxi\components\MapView.tsx","TypeScript","152","20","9"
".\src\app\wingull\pueblos\[pueblo]\_components\map\MapMarkers.tsx","TypeScript","152","12","0"
".\src\components\ui\primitives\form.tsx","TypeScript","152","24","0"
".\src\app\battlesim\_hooks\useGameState.tsx","TypeScript","152","22","12"
".\src\app\smartrotom\furrettoday\editar\_components\NewsEditor.tsx","TypeScript","152","18","0"
".\src\app\smartrotom\pc\hooks\usePCManagement.ts","TypeScript","152","28","1"
".\src\app\smartrotom\pokedex\entrada\[[...params]]\_components\ClientBasicInfo.tsx","TypeScript","151","10","0"
".\src\app\smartrotom\mewtwitch\user\_components\UserTabs.tsx","TypeScript","151","16","1"
".\src\components\ui\primitives\dialog.tsx","TypeScript","150","24","0"
".\src\app\smartrotom\arcade\loot\_components\opening\LootBoxOdds.tsx","TypeScript","150","22","9"
".\src\app\smartrotom\mewtwitch\types.ts","TypeScript","148","18","3"
".\src\app\smartrotom\mewtube\channel\[id]\page.tsx","TypeScript","148","19","1"
".\src\app\(boffmedia)\(herramientas)\mhwilds\builds\planner\_components\EquipmentItem.tsx","TypeScript","148","15","3"
".\src\services\api\smartrotom\ficusAiService.ts","TypeScript","147","26","51"
".\src\lib\dnd-kit-setup.ts","TypeScript","147","24","16"
".\src\components\ui\primitives\combobox.tsx","TypeScript","145","9","0"
".\src\app\battlesim\dex\_components\PokemonListTable.tsx","TypeScript","145","10","3"
".\src\app\(boffmedia)\(herramientas)\otros\sorteos\_components\GiveawayControls.tsx","TypeScript","145","13","0"
".\src\app\smartrotom\furrettoday\editar\[id]\page.tsx","TypeScript","144","13","0"
".\src\lib\smartrotom\performanceUtils.tsx","TypeScript","143","26","12"
".\src\app\smartrotom\furrettoday\editar\_components\NewsList.tsx","TypeScript","143","13","0"
".\src\components\smartrotom\apps\AppGrid.tsx","TypeScript","142","22","10"
".\src\app\battlesim\dex\_components\PokemonGrid.tsx","TypeScript","141","16","4"
".\src\app\(boffmedia)\(politicas)\terminos\page.tsx","TypeScript","141","14","0"
".\src\components\boffmedia\tools\FeaturedTool.tsx","TypeScript","140","16","1"
".\src\app\battlesim\calc\_context\CalcContext.tsx","TypeScript","140","27","16"
".\src\components\common\ckeditor\TestEditor.tsx","TypeScript","139","6","3"
".\src\app\smartrotom\pc\components\details\PokemonTypeEffectiveness.tsx","TypeScript","139","9","0"
".\src\app\smartrotom\starbank\_util\TransactionFilter.ts","TypeScript","137","17","0"
".\src\app\smartrotom\pokedex\entrada\[[...params]]\_components\MovesTable.tsx","TypeScript","137","17","3"
".\src\app\(boffmedia)\admin\events\_components\teams\TeamForm.tsx","TypeScript","137","11","0"
