Top files by lines of code
(code | language | file)
       174 | TypeScript | .\src\app\(boffmedia)\(herramientas)\mhwilds\builds\planner\_components\CharmSelector.tsx
       173 | TypeScript | .\src\app\(boffmedia)\(herramientas)\otros\sorteos\_components\ParticipantsList.tsx
       172 | TypeScript | .\src\app\smartrotom\admin\carteles\_components\HighwaySign.tsx
       171 | TypeScript | .\src\app\smartrotom\chatapp\_components\CreateGroup.tsx
       171 | TypeScript | .\src\app\(boffmedia)\(eventos)\eventos\_components\EventCard.tsx
       171 | TypeScript | .\src\app\(boffmedia)\(eventos)\eventos\[id]\_components\EventHero.tsx
       170 | TypeScript | .\src\app\smartrotom\arcade\maze\_components\BindingOfIsaacMaze.tsx
       169 | TypeScript | .\src\app\battlesim\dex\_components\PokemonDetail.tsx
       168 | TypeScript | .\src\app\smartrotom\starbank\calendario\_components\FinancialCalendar.tsx
       168 | TypeScript | .\src\app\battlesim\page copy.tsx
       167 | TypeScript | .\src\app\battlesim\replay\_components\Game.tsx
       167 | TypeScript | .\src\app\smartrotom\arcade\puzle\page.tsx
       167 | TypeScript | .\src\app\(boffmedia)\(herramientas)\otros\sorteos\_components\WinnerDisplay.tsx
       167 | TypeScript | .\src\app\(boffmedia)\(herramientas)\pokemon\tcgpocket\page.tsx
       166 | TypeScript | .\src\components\ui\primitives\sheet.tsx
       166 | TypeScript | .\src\app\smartrotom\arcade\voltorb\_components\RulesModal.tsx
       163 | TypeScript | .\src\app\smartrotom\chatapp\_components\WaypointPicker.tsx
       162 | TypeScript | .\src\app\smartrotom\arcade\test\tama\_components\TamagotchiScreen.tsx
       160 | TypeScript | .\src\app\smartrotom\mewtwitch\_components\TwitchResults.tsx
       160 | TypeScript | .\src\app\smartrotom\misiones\page.tsx
       160 | TypeScript | .\src\app\smartrotom\pokedex\_components\PokemonSprite.tsx
       160 | TypeScript | .\src\app\battlesim\_components\BattleEndScreen.tsx
       160 | TypeScript | .\src\app\smartrotom\admin\arceuspeak\page.tsx
       160 | TypeScript | .\src\app\smartrotom\arcade\test\_hooks\useAnimationLogic.ts
       159 | TypeScript | .\src\components\smartrotom\shared\BaseHistory.tsx
       159 | TypeScript | .\src\services\api\smartrotom\arcadeService.ts
       159 | TypeScript | .\src\app\wingull\pueblos\[pueblo]\_components\map\TownMap.tsx
